importances,std
0.005025741163213304,2.3851525794539583e-05
0.044554307778139866,0.00011903242154800937
0.0024711654781171986,1.989846008819673e-05
0.0016692398623454952,2.496500111827663e-05
0.0009287671308545575,1.4226104562564317e-05
0.0008820905580749994,1.4973270372108483e-05
0.03902858871034561,0.00015292077916839999
0.007220713902990017,5.1372266959778714e-05
0.005072072495069924,3.0547169703121236e-05
0.0009902890633199158,1.2674809460809698e-05
0.001323377505758594,1.1517601466020788e-05
0.0547309054150348,0.00016265231658394406
0.06405537940596462,0.00011488897948895208
0.0012425911297939795,1.4335440800714243e-05
0.014675432103539087,6.291077822216829e-05
0.014588500439146413,4.3477334134983676e-05
0.0014527738036711258,1.4962918440911575e-05
0.11833864544033404,9.499544743936905e-05
0.0027758060685068144,2.7620050615199714e-05
0.011711538780222353,6.137696196062935e-05
0.0868059966967348,0.00011989874790795293
